Country Name	Country Code	Time	Time Code	Domestic credit provided by financial sector (% of GDP) [FS.AST.DOMS.GD.ZS]	Foreign direct investment, net inflows (BoP, current US$) [BX.KLT.DINV.CD.WD]	GDP growth (annual %) [NY.GDP.MKTP.KD.ZG]	Income share held by lowest 20% [SI.DST.FRST.20]	Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]	Income share held by second 20% [SI.DST.02ND.20]	Income share held by third 20% [SI.DST.03RD.20]	Income share held by highest 20% [SI.DST.05TH.20]	Income share held by fourth 20% [SI.DST.04TH.20]	GINI index (World Bank estimate) [SI.POV.GINI]
Slovenia	SVN	2005	YR2005	643.562.673.783.033	970800000	400.300.736.412.321	9.9	155.023.014.370.069	14.6	18.2	34.6	22.7	24.6
Slovenia	SVN	2006	YR2006	72.008.637.309.696	691.588.429.380.085	565.599.921.104.287	10	218.824.647.966.672	14.7	18.2	34.5	22.7	24.4
Slovenia	SVN	2007	YR2007	807.575.459.757.288	188.493.287.306.309	694.164.566.907.808	10	416.865.332.973.182	14.7	18.2	34.4	22.6	24.4
Slovenia	SVN	2008	YR2008	86.337.160.969.129	108.108.020.708.929	330.013.029.911.653	10.2	451.224.702.971.783	14.9	18.3	34	22.6	23.7
Slovenia	SVN	2009	YR2009	918.888.841.263.086	-346.269.217.098.625	-779.727.657.563.031	9.9	335.554.074.116.513	14.6	18.2	34.7	22.7	24.8
Slovenia	SVN	2010	YR2010	95.980.265.753.982	319.054.952.651.287	123.775.590.870.558	9.7	-0.987114140647989	14.6	18.2	34.8	22.7	24.9
Slovenia	SVN	2011	YR2011	923.773.368.965.415	875.544.802.262.048	0.649366927703497	9.7	111.943.587.171.845	14.7	18.2	34.8	22.5	24.9
Slovenia	SVN	2012	YR2012	925.825.946.912.905	335.480.876.235.344	-266.958.205.232.561	9.4	0.458813835252059	14.6	18.2	35.2	22.6	25.6
Slovenia	SVN	2013	YR2013	829.138.596.315.674	103.977.238.573.469	-113.205.498.110.763	9.2	16.023.243.825.063	14.4	18.1	35.6	22.6	26.2
Slovenia	SVN	2014	YR2014	681.063.746.307.365	101.929.146.499.628	297.919.603.766.425	9.4	0.793274625491279	14.5	18.1	35.4	22.5	25.7
													
													
													
Data from database: World Development Indicators													
Last Updated: 01/19/2018													
